title,artists,Length_minutes,Tempo,Energy,Danceability,Happiness,Acousticness,Instrumentalness,Liveness,Speechiness,Loudness
nói dối,ronboogz,,,,,,,,,,
nơi này có anh,sơn tùng m-tp,,,,,,,,,,
nỗi nhớ không tên,will,,,,,,,,,,
nolovenolife,hieuthuhai,,,,,,,,,,
nụ hôn đầu,đậu tất đạt,,,,,,,,,,
nửa quân bài,trịnh đình quang,,,,,,,,,,
nước mắt cá sấu,hieuthuhai,,,,,,,,,,
ôm lấy trái tim,kairon,,,,,,,,,,
panorama,richie d. icy,,,,,,,,,,
past won't leave my bed,joji,,,,,,,,,,
peace n' love,low g,,,,,,,,,,
phải viết bao nhiêu bản tình ca,min,,,,,,,,,,
phép màu,maydays,,,,,,,,,,
phim ba người,nguyễn vĩ,,,,,,,,,,
phong sương tửu (ca si thiên đình),thiên đình,,,,,,,,,,
phóng zìn zìn,tlinh,,,,,,,,,,
pin dự phòng,dương domic,,,,,,,,,,
polite,sonaone,,,,,,,,,,
quá muộn,min,,,,,,,,,,
quên rồi khổ đau năm ấy,vicky nhung,,,,,,,,,,
quyền yếu đuối,miina,,,,,,,,,,
quyền yếu đuối (piano version),miina,,,,,,,,,,
rơi tự do,em xinh say hi,,,,,,,,,,
sad nhân,strong,,,,,,,,,,
sài gòn hôm nay mưa,jsol,,,,,,,,,,
sau cơn mưa,coolkid,,,,,,,,,,
sau cơn suy,rhyder,,,,,,,,,,
sau ngần ấy năm,hà nhi,,,,,,,,,,
say một đời vì em,nguyên vũ,,,,,,,,,,
simp gái 808,low g,,,,,,,,,,
sinh ra đã là thứ đối lập nhau,emcee l,,,,,,,,,,
sớm muộn thì,anh trai say hi,,,,,,,,,,
sự ưu tiên của em,lê gia bảo,,,,,,,,,,
tạm bợ,miina,,,,,,,,,,
tâm sự với đêm một mình,phùng khánh linh,,,,,,,,,,
tâm trí lang thang,ánh sáng aza,,,,,,,,,,
text 07,w/n,,,,,,,,,,
thả anh ra,quang hùng masterd,,,,,,,,,,
tham phú phụ bần,nguyễn vĩ,,,,,,,,,,
thằng điên,justatee,,,,,,,,,,
tháng năm,soobin,,,,,,,,,,
thanh xuân,da lab,,,,,,,,,,
thanh xuân là anh,2t,,,,,,,,,,
thật không giống ai (from thà cô đơn),vicky nhung,,,,,,,,,,
thấu tình,trung hiếu,,,,,,,,,,
the playah (special performance),soobin,,,,,,,,,,
thích quá rùi nà,tlinh,,,,,,,,,,
thiệp hồng sai tên,nguyễn thành đạt,,,,,,,,,,
thiêu thân,anh trai say hi,,,,,,,,,,
thời thế thế thời,nguyễn vĩ,,,,,,,,,,
thời thế thế thời (rock version),nguyễn vĩ,,,,,,,,,,
thức giấc,da lab,,,,,,,,,,
thương,bích phương,,,,,,,,,,
tiếc cho em,rhyder,,,,,,,,,,
tình nhân ơi,orange,,,,,,,,,,
tình yêu bất diệt,hồ việt trung,,,,,,,,,,
tình yêu chậm trễ,monstar,,,,,,,,,,
trái tim không có tội,châu khải phong,,,,,,,,,,
trạm dừng chân,jack - j97,,,,,,,,,,
tràn bộ nhớ,dương domic,,,,,,,,,,
trọn vẹn chính mình,hương giang,,,,,,,,,,
tự dưng thành người lạ,quốc thiên,,,,,,,,,,
từng là,vũ cát tường,,,,,,,,,,
từng ngày yêu em,buitruonglinh,,,,,,,,,,
từng quen,wren evans,,,,,,,,,,
