Date,Rank,Title,Artist,Featured_artists,Source
2025-11-07,32,"(từng là) Boyfriend, Girlfriend",MIN,,APPLE_MUSIC
2025-11-07,33,Hà Nội,Obito,"Shiki, VSTRA",APPLE_MUSIC
2025-11-07,34,LINH CẢM,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-07,35,đưa em về nhàa,GREY D,Chillies,APPLE_MUSIC
2025-11-07,36,Nếu Những Tiếc Nuối,Vũ.,,APPLE_MUSIC
2025-11-07,37,ĐOẠN KỊCH CÂM,ANH TRAI SAY HI,"CONGB, Negav, B Ray, CODYNAMVO, Phạm Đình Thái Ngân, Mỹ Mỹ",APPLE_MUSIC
2025-11-07,38,TÂM SỰ VỚI ĐÊM MỘT MÌNH,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-07,39,PHÓNG ZÌN ZÌN,tlinh,Low G,APPLE_MUSIC
2025-11-07,40,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),Nguyễn Hùng,,APPLE_MUSIC
2025-11-07,41,giá như,SOOBIN,,APPLE_MUSIC
2025-11-07,42,Anh Đã Không Biết Cách Yêu Em,Quang Đăng Trần,,APPLE_MUSIC
2025-11-07,43,Kho Báu,STRONG,,APPLE_MUSIC
2025-11-07,44,Có Đôi Điều,Shiki,,APPLE_MUSIC
2025-11-07,45,vaicaunoicokhiennguoithaydoi,GREY D,tlinh,APPLE_MUSIC
2025-11-07,46,NOLOVENOLIFE,HIEUTHUHAI,,APPLE_MUSIC
2025-11-07,47,Không Thời Gian,Dương Domic,,APPLE_MUSIC
2025-11-07,48,Ngày Này Năm Ấy,Viet Anh,,APPLE_MUSIC
2025-11-07,49,DANCING IN THE DARK,SOOBIN,,APPLE_MUSIC
2025-11-07,50,Thanh Xuân,Da LAB,,APPLE_MUSIC
2025-11-07,51,Anh Đã Quen Với Cô Đơn,SOOBIN,,APPLE_MUSIC
2025-11-07,52,ÁM ẢNH VỀ ANH,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-07,53,nếu lúc đó,tlinh,2pillz,APPLE_MUSIC
2025-11-07,54,Lạ Lùng,Vũ.,,APPLE_MUSIC
2025-11-07,55,Điều Em Khó Nói,MIN,,APPLE_MUSIC
2025-11-07,56,ĐIỀU EM KHÔNG MUỐN,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-07,57,Yêu 5,Rhymastic,,APPLE_MUSIC
2025-11-07,58,Chăm Hoa,MONO,,APPLE_MUSIC
2025-11-07,63,Wrong Times,Puppy,Dangrangto,APPLE_MUSIC
2025-11-07,64,Nàng Thơ,Hoàng Dũng,,APPLE_MUSIC
2025-11-07,65,Bước Qua Mùa Cô Đơn,Vũ.,,APPLE_MUSIC
2025-11-07,66,HÃY NÓI ANH SAI RỒI,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-07,67,KHÓC BLÓCK,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-07,68,Thằng Điên,JustaTee,Phương Ly,APPLE_MUSIC
2025-11-07,69,Từng Quen,Wren Evans,itsnk,APPLE_MUSIC
2025-11-07,70,like JENNIE,JENNIE,,APPLE_MUSIC
2025-11-07,71,1000 Ánh Mắt,Shiki,Obito,APPLE_MUSIC
2025-11-07,72,GRIEF IS THE PRICE YOU PAY FOR LOVE,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-07,73,Đánh Đổi,Obito,"Shiki, RPT MCK",APPLE_MUSIC
2025-11-07,75,Đoạn Kết Mới,Hoàng Dũng,,APPLE_MUSIC
2025-11-07,76,Nhiều Hơn,Low G,,APPLE_MUSIC
2025-11-07,77,Feel At Home,B Ray,,APPLE_MUSIC
2025-11-07,78,Những Lời Hứa Bỏ Quên,Vũ.,Dear Jane,APPLE_MUSIC
2025-11-07,79,HƠN LÀ BẠN,ANH TRAI SAY HI,"Ngô Kiến Huy, Vũ Cát Tường, Karik, VƯƠNG BÌNH, Sơn.K, MIN",APPLE_MUSIC
2025-11-07,81,GÃ SĂN CÁ,Lâm Bảo Ngọc,"Quỳnh Anh Shyn, MAIQUINN, Saabirose, Quang Hùng MasterD",APPLE_MUSIC
2025-11-07,82,Golden,HUNTR/X,"EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",APPLE_MUSIC
2025-11-07,84,Giữ Anh Cho Ngày Hôm Qua,Hoàng Dũng,"Rhymastic, LELAREC",APPLE_MUSIC
2025-11-07,85,The Playah (Special Performance),SOOBIN,,APPLE_MUSIC
2025-11-07,86,Nước Mắt Cá Sấu,HIEUTHUHAI,,APPLE_MUSIC
2025-11-07,87,Exit Sign,HIEUTHUHAI,marzuz,APPLE_MUSIC
2025-11-07,88,Chìm Sâu (feat. Trung Trần),RPT MCK,,APPLE_MUSIC
2025-11-07,89,CỨ ĐỔ TẠI CƠN MƯA,Phương Ly,"Orange, Châu Bùi, 52Hz, Vũ Thảo My",APPLE_MUSIC
2025-11-07,90,vết thương,Fishy,,APPLE_MUSIC
2025-11-07,91,Giờ Thì,buitruonglinh,,APPLE_MUSIC
2025-11-07,92,NGƯỜI YÊU CHƯA SINH RA,ANH TRAI SAY HI,"OgeNus, BigDaddy, Phúc Du, Hustlang Robber, Dillan Hoàng Phan",APPLE_MUSIC
2025-11-07,93,Tình Nhân Ơi,Orange,Binz,APPLE_MUSIC
2025-11-07,94,Anh Đã Ổn Hơn,RPT MCK,,APPLE_MUSIC
2025-11-07,95,Vài Lần Đón Đưa,SOOBIN,SpaceSpeakers,APPLE_MUSIC
2025-11-07,96,Mùa Mưa Ấy,Vũ.,,APPLE_MUSIC
2025-11-07,98,fragile (intro),MIN,,APPLE_MUSIC
2025-11-07,99,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,,APPLE_MUSIC
2025-11-07,100,ILYSMBIHTLYG (interlude),MIN,,APPLE_MUSIC
2025-11-08,1,chẳng phải tình đầu sao đau đến thế,MIN,"Dangrangto, antransax",APPLE_MUSIC
2025-11-08,2,Em,Binz,,APPLE_MUSIC
2025-11-08,4,In Love,Low G,JustaTee,APPLE_MUSIC
2025-11-08,5,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-08,6,Không Buông,Hngle,Ari,APPLE_MUSIC
2025-11-08,7,EM ĐAU,Phùng Khánh Linh,Thành Luke,APPLE_MUSIC
2025-11-08,9,Quá Muộn,MIN,,APPLE_MUSIC
2025-11-08,10,KHÔNG ĐAU NỮA RỒI,EM XINH SAY HI,"Orange, Châu Bùi, Mỹ Mỹ, Pháp Kiều, 52Hz",APPLE_MUSIC
2025-11-08,11,Người Đầu Tiên,Juky San,buitruonglinh,APPLE_MUSIC
2025-11-08,12,Chế Độ Im Lặng,MIN,,APPLE_MUSIC
2025-11-08,13,Kho Báu (with Rhymastic),STRONG,Rhymastic,APPLE_MUSIC
2025-11-08,14,Vùng An Toàn,B Ray,V#,APPLE_MUSIC
2025-11-08,15,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,ANH TRAI SAY HI,"Vũ Cát Tường, Karik, Negav, Ngô Kiến Huy, Jey B",APPLE_MUSIC
2025-11-08,16,Phép Màu (feat. Minh Tốc & Lam) [Đàn Cá Gỗ Original Soundtrack],MAYDAYs,,APPLE_MUSIC
2025-11-08,17,NGƯỜI ĐẦU TIÊN,Juky San,,APPLE_MUSIC
2025-11-08,18,Bình Yên,Vũ.,Binz,APPLE_MUSIC
2025-11-08,19,ƯỚC ANH TAN NÁT CON TIM,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-08,20,Có Em Là Nhà,MIN,,APPLE_MUSIC
2025-11-08,21,Không Thể Say,HIEUTHUHAI,,APPLE_MUSIC
2025-11-08,22,HIỆN THỰC PHŨ PHÀNG,Phùng Khánh Linh,,APPLE_MUSIC
2025-11-08,23,Mất Kết Nối,Dương Domic,,APPLE_MUSIC
2025-11-08,24,Đừng Làm Trái Tim Anh Đau,Sơn Tùng M-TP,,APPLE_MUSIC
