title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,NCT_appearances,NCT_peak_rank,NCT_total_likes,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_total_likes,ZINGMP3_total_plays
điều em không muốn,phùng khánh linh,,apple,53,2025-10-18,"v-pop, vietnam indie",1hhHm16FmHwdob8X95frcB,1,38.0,,10.0,37.56,10.0,38.0,,,,,,,,,,,,
đừng yêu một người như,du uyên,,zingmp3,10,2025-10-29,"v-pop, vinahouse, vietnamese hip hop",6vH7sYEbvUcHwwJKQvW2xH,1,31.0,,4.0,37.21,,,,,,,,,,,4.0,31.0,3000.0,206000.0
khóa ly biệt,the masked singer,voi bản đôn,nct,51,2023-11-05,v-pop,3BlB5wlzdbgCJGkuPcNVIW,1,39.0,,10.0,37.16,,,,,,,,10.0,39.0,346950.0,,,,
10 ngàn năm,pc,,spotify,64,2019-12-21,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",2pm7K14nHj2fLrpU8j9bit,1,43.0,,13.0,37.14,,,13.0,43.0,1248.0,33111732.0,25.0,,,,,,,
nụ hôn đầu,đậu tất đạt,,zingmp3,11,2025-10-30,"v-pop, vietnamese hip hop, vietnam indie",2cZEbXZ7i1HVn2FvXrqInO,1,31.0,,3.0,36.68,,,,,,,,,,,3.0,31.0,5000.0,
3 bích,pháp kiều,tlinh,nct,59,2025-10-15,"v-pop, vietnamese hip hop",3yrQAZrdlrMVtI4DN9FTIc,1,35.0,,6.0,36.66,,,,,,,,6.0,35.0,9694.0,,,,
đánh đổi,obito,"shiki, rpt mck","apple, spotify",62,2023-10-10,"v-pop, vietnamese hip hop, vietnam indie",1UQNU5O9VttUgO16pxUnjw,2,64.0,,13.0,36.24,10.0,64.0,3.0,69.0,489.0,17580986.0,46.0,,,,,,,
thương,bích phương,,zingmp3,52,2025-10-23,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",64R6c49ljNaTEl7sGZxQ00,1,48.0,,14.0,35.67,,,,,,,,,,,14.0,48.0,4000.0,372000.0
cơ hội cuối,an vũ,,zingmp3,52,2025-04-25,"v-pop, vinahouse, vietnamese lo-fi",2UntIOBeaSlLJrZbc3bdmD,1,52.0,,17.0,35.65,,,,,,,,,,,17.0,52.0,189000.0,11600000.0
hoa đỗ quyên,khả hiệp,,zingmp3,13,2025-09-22,"vinahouse, v-pop, vietnamese lo-fi",683tqruHrjbdocY4cJtCW5,1,38.0,,6.0,35.46,,,,,,,,,,,6.0,38.0,2000.0,106000.0
chim hót bên trong lâu đài,lyhan,,zingmp3,29,2025-11-11,v-pop,3Js7L0R4Kx9zcx8GTaEira,1,32.0,,1.0,35.23,,,,,,,,,,,1.0,32.0,4000.0,
thanh xuân,da lab,,apple,61,2018-08-24,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",3b34161QoxLwsqhWSPy9i5,1,44.0,,10.0,35.16,10.0,44.0,,,,,,,,,,,,
anh thua anh ta,gia huy singer,,zingmp3,20,2025-11-06,"vinahouse, v-pop",2JLbmO8Hs5LHJRUMxQefwM,1,41.0,,7.0,34.78,,,,,,,,,,,7.0,41.0,6000.0,148000.0
không yêu em thì yêu ai?,vũ.,low g,spotify,64,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",0e6fZkLArSmDIHnZcIua7t,1,49.0,,13.0,34.74,,,13.0,49.0,413.0,21901550.0,14.0,,,,,,,
