title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
Buồn Hay Vui,VSOUL,nan,new_hits_scraped_old,61,2023-12-25,"vietnamese hip hop, v-pop",4OXAneZHFJyQV1RuzCzmH3,buonhayvui||vsoul,"('buồn hay vui', 'vsoul', 'nan')"
Buồn Thì Cứ Khóc Đi,Lynk Lee,nan,"new_hits_scraped, new_hits_scraped_old",56,2019-12-13,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",6iXGivPFpsqKmrINhIbPvx,buonthicukhocdi||lynklee,"('buồn thì cứ khóc đi', 'lee, lynk', 'nan')"
BÍ MẬT NHỎ,ANH TRAI SAY HI,Mason Nguyen,"nct, zingmp3",44,2025-12-01,"v-pop, vietnamese hip hop",3FMIIcL90MMeDZIuein5Pl,bimatnho||anhtraisayhi,"('bí mật nhỏ', 'anh, hi, say, trai', 'mason, nguyen')"
Bài Này Chill Phết,Đen,nan,"new_hits_scraped, new_hits_scraped_old",59,2019,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",2nR51wakN5K3AJENqGaNg9,bainaychillphet||den,"('bài này chill phết', 'đen', 'nan')"
Bánh Mì Không,Đạt G,nan,new_hits_scraped,55,2023-02-17,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4XdwiyFDTF1oM8rALFmyZx,banhmikhong||datg,"('bánh mì không', 'g, đạt', 'nan')"
Bánh cuốn,Quân A.P,nan,bsides_non_hit,27,2024-11-29,"v-pop, vietnamese lo-fi",7KLi2Tv6KPtuC1N1FDhbZE,banhcuon||quanap,"('bánh cuốn', 'a, p, quân', 'nan')"
Bên Nhau Mình Là Nhà,Vũ Cát Tường,nan,bsides_non_hit,34,2025-05-29,"v-pop, vietnam indie",1aTOEnRbXz6TJYKgZcW6Lg,bennhauminhlanha||vucattuong,"('bên nhau mình là nhà', 'cát, tường, vũ', 'nan')"
Bên Trên Tầng Lầu,Tăng Duy Tân,nan,new_hits_scraped_old,49,2022-06-10,"v-pop, vinahouse, vietnamese lo-fi",0Cy7uOfTjJrmHkNEPBBZxf,bentrentanglau||tangduytan,"('bên trên tầng lầu', 'duy, tân, tăng', 'nan')"
Bình Yên (buonhonmotchut) (feat. Goddy),Táo,nan,bsides_non_hit,24,2025-05-11,"vietnamese hip hop, vietnamese lo-fi, vietnam indie, v-pop",6j5pDQVIiz6FW4lWHkcoet,binhyenbuonhonmotchut||tao,"('bình yên buonhonmotchut', 'táo', 'goddy, nan')"
Bóng Phù Hoa,Phương Mỹ Chi,nan,"new_hits_scraped, new_hits_scraped_old",50,2023-09-18,"v-pop, vietnamese bolero",3fw9v7CztM2mqu1jCtbg9f,bongphuhoa||phuongmychi,"('bóng phù hoa', 'chi, mỹ, phương', 'nan')"
