track_id,track_name,artist_name,artist_id,release_date,spotify_popularity,duration_formatted
0qV3OzdW5SDCOcSeQpAqIi,CUỘN LEN,JSOL,6EybZ5zwPNEtEngfrEMevN,09/16/2025,46,0:00
3Y0yJeIKeA74IFhidBvxrG,DÁN MẮT,JSOL,6EybZ5zwPNEtEngfrEMevN,07/18/2025,43,0:00
4T2A4Xgs5ADRi0Ru0GjP9b,GENIE,JSOL,6EybZ5zwPNEtEngfrEMevN,09/16/2025,37,0:00
5XjP28hCtjW9eZlsm5dXqn,"KHÔNG PHẢI EM, KHÔNG PHẢI AI",JSOL,6EybZ5zwPNEtEngfrEMevN,08/21/2025,44,0:00
33hsLCLlUSzqdzIcc0WR5S,Trao Về Anh,Juky San,51wGpVg4Z3lv1IjuZAQjXn,07/15/2025,39,0:00
6p5YdzjbV80ZmzIwk3rvMr,Bông Hoa Nhài,JustaTee,3rjcQ5VIWCN4q7UFetzdeO,06/10/2025,38,0:00
6tOhfsn6bRq2K1M0Kl6jnw,Con Cũng Thương Mẹ Mà - Original SoundTrack from Phá Đám: Sinh Nhật Mẹ,Kai Đinh,3E6LGptA8lBEXPHAQCE3vr,11/02/2025,29,0:00
0SmNrorw1jhkCctmUK1QyI,Sài Gòn thanh xuân,Kai Đinh,3E6LGptA8lBEXPHAQCE3vr,04/24/2025,13,0:00
0ESx0xJ0zMaxNruAPuEaZC,từ 1 sẽ thành 2,Kai Đinh,3E6LGptA8lBEXPHAQCE3vr,07/18/2025,15,0:00
1mZwucNyOaTuwUxzOOcTnX,xuân vũ,Kai Đinh,3E6LGptA8lBEXPHAQCE3vr,07/18/2025,21,0:00
5bHN3SpYfI9JQJH4utPMPG,you may kiss your bride,Kai Đinh,3E6LGptA8lBEXPHAQCE3vr,07/18/2025,22,0:00
7aMTM2FubEWCPDmCvRtNZm,Muôn Ngàn Giấc Mơ,Kha,6tWaQSIL7reD85PKStNk28,03/13/2025,6,3:50
3xXv8zm5094bkfWkeA0ZzB,Nhịp Đập Con Tim,Kha,6tWaQSIL7reD85PKStNk28,03/13/2025,12,4:05
1RbQwPbXB95g5uHypbNlEG,Điệp Khúc Tình Si,Kha,6tWaQSIL7reD85PKStNk28,03/13/2025,7,4:07
5pwzWjYSV5NbILoGWbHO6F,Ước Nguyện,Kha,6tWaQSIL7reD85PKStNk28,03/13/2025,8,4:51
6xOgNFGbdrOAI5EaaoOi3u,Chỉ Còn Lại Đây,Khắc Việt,7luDDYsfkSivBsoTz3BKMq,03/07/2025,19,0:00
