artist_id,artist_name,genres,followers,popularity
7oOFsgF6y3Z9wI7fgJTbFk,Châu Đăng Khoa,"v-pop, vietnamese hip hop, vinahouse",37502,38
7oxw8G3qB7DwjCs18JWJt5,Nguyễn Hùng,"v-pop, vietnam indie",78881,49
7pCB93rz0fL0KvmnuN8AI3,NAOMI,"vietnam indie, vietnamese hip hop, v-pop",20883,29
7pKVcV21hCqMUwtudiQakn,LKT media,"vinahouse, v-pop",48,17
7qHgn5ADOzPBlcWcXfM6iA,Phongkhin,"v-pop, vietnamese hip hop, vietnam indie",6053,41
7r1t2BsAImw0Ib9UPOw5bH,KRAY D.C,v-pop,56,2
7rkudDmJqV6OIv9EvCOWoG,Đỗ Hoàng Long,v-pop,485,39
7rpD9lGecstoaVj2vGXUex,Công Dương,"v-pop, vietnamese hip hop",53653,45
7rphxE9Q67qTXa7ev9AQgi,AL403,"vietnamese hip hop, v-pop",1658,31
7sI2avJ3MyFstC9oKNM7py,Han Sara,"v-pop, vietnamese hip hop",269080,48
7sP2J9KYd1AV4c9nfev5xI,BeeBB,"vinahouse, vietnam indie",443,13
7sQXvtKYBH0aZtRt7YaDvl,Young Ju,v-pop,128,9
7srRuXZ6FxuyXgGennDA70,Hậu Hoàng,v-pop,2753,26
7sxSmvFspSmM7mIFnk0mdB,Ho Trung Dung,"v-pop, vietnamese bolero, vietnamese lo-fi",8610,19
7t08fNNZOlnKsTQHAgLdKs,B.O.F,v-pop,2932,22
7tnmivNS3RSQh3f7miN3IZ,Fenni Phan Ngân,"vinahouse, v-pop",130,13
7tRkypqswDC2uWg9g9H0Vs,Hannie,"v-pop, vinahouse",5335,38
7tVFxRoFbk1Tw0pHmw5MFE,Gia Khiêm,v-pop,800,15
7uCZuhOdsb84a1hi91fNLi,Nguyễn Phúc Thiện,v-pop,29,11
7urPZ5oFQ91oxPSxvxS0oN,TOP 29 TÂN BINH TOÀN NĂNG,v-pop,118,15
7uSNudh9nTnHLyfs6uQqFv,Hương Thủy,"vietnamese bolero, bolero, v-pop",11272,30
7uw6Q1NopWI2Dxy6xtsuoh,Chuột Cherry,v-pop,47,1
7uXCUuu6fSPufd58fU5sET,Diệp Lâm Anh,v-pop,5290,17
7v0H5ceG2DByd6XBYSt9Hm,Pittu Quyên,"v-pop, vinahouse",62,7
7wavTvPU70oUAxGnTEBnw9,Hoàng Green,"v-pop, vietnamese hip hop, vinahouse",1959,29
7wqCcGabyuT6f1ZkRxI4ga,Võ Hạ Trâm,v-pop,14335,18
7x7hFS0zyUPSOaBrZLjEpo,kingfisher beats,vietnamese hip hop,451,13
7xBuIrKTMHxIB1zpfLyo8B,Nguyễn Hồng Thuận,"v-pop, vinahouse",2244,29
7yquVKfxBuNFJbG9cy2R8A,VCT,"v-pop, vietnam indie",995594,59
7yRDcF8kWO70GsJC71wmJv,Ngọc Mai,v-pop,12559,28
