Date,Rank,Title,Artist,Featured_Artists,Source,Duration,URL,Total_Likes,Total_Plays,chart_date
2025-10-31,97.0,Yêu Thật Lòng Đâu Dễ Quên,The Men,,ZINGMP3,04:49,https://zingmp3.vn/bai-hat/Yeu-That-Long-Dau-De-Quen-The-Men/Z88OBWFO.html,10000.0,1200000.0,2025-12-09
2025-10-31,98.0,Quyền Yếu Đuối (Piano Version),MiiNa,"RIN9, DREAMeR",ZINGMP3,02:55,https://zingmp3.vn/bai-hat/Quyen-Yeu-Duoi-Piano-Version-MiiNa-RIN9-DREAMeR/Z89DA8EW.html,7000.0,235000.0,2025-12-09
2025-10-31,99.0,CỨ ĐỔ TẠI CƠN MƯA (Solo & Piano),EM XINH SAY HI,Orange,ZINGMP3,03:05,https://zingmp3.vn/bai-hat/CU-DO-TAI-CON-MUA-Solo-Piano-EM-XINH-SAY-HI-Orange/Z89IIBCZ.html,1000.0,166000.0,2025-12-09
2025-10-31,100.0,Có Còn Yêu Em,Nguyễn Kiều Oanh,,ZINGMP3,05:47,https://zingmp3.vn/bai-hat/Co-Con-Yeu-Em-Nguyen-Kieu-Oanh/Z88OUE8D.html,12000.0,894000.0,2025-12-09
2025-11-01,1.0,Thật Không Giống Ai (From Thà Cô Đơn),Vicky Nhung,,ZINGMP3,04:07,https://zingmp3.vn/bai-hat/That-Khong-Giong-Ai-From-Tha-Co-Don-Vicky-Nhung/Z8A6IOWO.html,17000.0,,2025-12-09
2025-11-01,2.0,Họa Sĩ Tồi,Thái Học,,ZINGMP3,04:43,https://zingmp3.vn/bai-hat/Hoa-Si-Toi-Thai-Hoc/Z88IIB8B.html,212000.0,9100000.0,2025-12-09
2025-11-01,3.0,Em Thua Cô Ta,Min Quỳnh Anh,,ZINGMP3,04:29,https://zingmp3.vn/bai-hat/Em-Thua-Co-Ta-Min-Quynh-Anh/Z89Z7Z0A.html,105000.0,2100000.0,2025-12-09
2025-11-01,4.0,Mỹ Vị Cuộc Đời,Trung Quân,,ZINGMP3,05:06,https://zingmp3.vn/bai-hat/My-Vi-Cuoc-Doi-Trung-Quan/Z8AOAC0O.html,1000.0,76000.0,2025-12-09
2025-11-01,5.0,Canh Bạc Hôn Nhân,LaLa Trần,Nguyễn Hồng Thuận,ZINGMP3,05:35,https://zingmp3.vn/bai-hat/Canh-Bac-Hon-Nhan-LaLa-Tran-Nguyen-Hong-Thuan/Z8AIA6D7.html,11000.0,274000.0,2025-12-09
2025-11-01,6.0,Anh Đã Không Biết Cách Yêu Em,Quang Đăng Trần,,ZINGMP3,04:06,https://zingmp3.vn/bai-hat/Anh-Da-Khong-Biet-Cach-Yeu-Em-Quang-Dang-Tran/Z870AWF8.html,381000.0,18900000.0,2025-12-09
2025-11-01,7.0,Cạn Dòng Ướt Mi,Dee Trần,,ZINGMP3,04:33,https://zingmp3.vn/bai-hat/Can-Dong-Uot-Mi-Dee-Tran/Z8AUA078.html,1000.0,57000.0,2025-12-09
