title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
đa nghi,anh trai say hi,"negav, hải nam, codynamvo, dillan hoàng phan","apple, nct, spotify, zingmp3",62,2025-10-13,"v-pop, vietnamese hip hop",5ip4iGkbZNrihMGHAqOgMl,danghi||anhtraisayhi,"('đa nghi', 'anh, hi, say, trai', 'codynamvo, dillan, hoàng, hải, nam, negav, phan')"
đại dương,pháp kiều,nan,zingmp3,0,2025-11-12,"v-pop, vietnamese hip hop",5osp8hYqK6oEjpzbChA54e,daiduong||phapkieu,"('đại dương', 'kiều, pháp', 'nan')"
đại khải hoàn,the flob,chin,zingmp3,39,2025-11-06,"vietnam indie, v-pop",2Yp2PMt1fepfBELHIPzvaA,daikhaihoan||theflob,"('đại khải hoàn', 'flob, the', 'chin')"
dancing in the dark,soobin,nan,"apple, spotify",54,2024-06-25,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",3x7Hh3zsE1wcXCU2G8l5tP,dancinginthedark||soobin,"('dancing in the dark', 'soobin', 'nan')"
đánh đổi,obito,"shiki, rpt mck","apple, spotify",62,2023-10-10,"v-pop, vietnamese hip hop, vietnam indie",1UQNU5O9VttUgO16pxUnjw,danhdoi||obito,"('đánh đổi', 'obito', 'mck, rpt, shiki')"
dẫu có đến đâu,anh trai say hi,"congb, vương bình, lohan, nhâm phương nam","nct, zingmp3",60,2025-10-13,"v-pop, vietnamese hip hop",5aDTawTXK6FJjXTUsR03n2,daucodendau||anhtraisayhi,"('dẫu có đến đâu', 'anh, hi, say, trai', 'bình, congb, lohan, nam, nhâm, phương, vương')"
đến đây bên anh,cloud 5,dangrangto,spotify,61,2023-09-28,v-pop,55Eo6NDkVhSRBonrT16kXM,dendaybenanh||cloud5,"('đến đây bên anh', '5, cloud', 'dangrangto')"
điều em khó nói,min,nan,apple,53,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",1i8XBFqEFIGbzLXvqu9c3b,dieuemkhonoi||min,"('điều em khó nói', 'min', 'nan')"
điều em không muốn,phùng khánh linh,nan,apple,53,2025-10-18,"v-pop, vietnam indie",1hhHm16FmHwdob8X95frcB,dieuemkhongmuon||phungkhanhlinh,"('điều em không muốn', 'khánh, linh, phùng', 'nan')"
đoạn kết mới,hoàng dũng,nan,apple,55,2022-08-24,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",72YmbRPOa2DZKe4HzdFG9B,doanketmoi||hoangdung,"('đoạn kết mới', 'dũng, hoàng', 'nan')"
đoạn kịch câm,anh trai say hi,"congb, negav, b ray, codynamvo, phạm đình thái ngân, mỹ mỹ","apple, nct, spotify, zingmp3",56,2025-11-03,"v-pop, vietnamese hip hop",703nPWb6qOClgjJljvUx7Y,doankichcam||anhtraisayhi,"('đoạn kịch câm', 'anh, hi, say, trai', 'b, codynamvo, congb, mỹ, negav, ngân, phạm, ray, thái, đình')"
